epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,2335.96,0.27146,0.18301,0.78067,0.88077,0.84591,0.85602,0.63385,0.87548,0.73408,1.00145,0.00056704,0.00056704,0.00056704
163,2349.83,0.27284,0.18205,0.7802,0.8919,0.84321,0.88129,0.65793,0.87236,0.68836,0.98304,0.000562629,0.000562629,0.000562629
164,2363.22,0.26907,0.18099,0.77666,0.87627,0.84384,0.87477,0.66579,0.87674,0.68172,0.95964,0.000558214,0.000558214,0.000558214
165,2378.64,0.27178,0.18282,0.77567,0.88582,0.83378,0.87251,0.66726,0.86681,0.71101,0.979,0.000553795,0.000553795,0.000553795
166,2393.69,0.27575,0.18281,0.78018,0.89345,0.83588,0.87795,0.66775,0.86145,0.68505,0.96933,0.000549371,0.000549371,0.000549371
167,2406.59,0.28096,0.18224,0.78652,0.89255,0.83429,0.87481,0.66611,0.85765,0.68579,0.97481,0.000544945,0.000544945,0.000544945
168,2420.07,0.2733,0.18068,0.7802,0.88295,0.83645,0.85797,0.64454,0.87362,0.71546,0.9886,0.000540514,0.000540514,0.000540514
169,2435.14,0.27548,0.18311,0.77748,0.88268,0.82295,0.84977,0.64379,0.88141,0.71865,0.98398,0.000536081,0.000536081,0.000536081
170,2450.42,0.26544,0.17447,0.77713,0.88459,0.83803,0.86961,0.65409,0.89516,0.71559,1.00063,0.000531646,0.000531646,0.000531646
171,2463.16,0.26335,0.17541,0.77949,0.8746,0.83421,0.85877,0.64785,0.88544,0.71502,0.99236,0.000527208,0.000527208,0.000527208
172,2476.65,0.26383,0.17622,0.7763,0.89721,0.83421,0.87752,0.66766,0.87724,0.7019,0.99164,0.000522769,0.000522769,0.000522769
173,2492.32,0.26372,0.17435,0.77839,0.89268,0.83721,0.861,0.65612,0.86332,0.69098,0.96822,0.000518328,0.000518328,0.000518328
174,2507.14,0.2634,0.17506,0.77754,0.90478,0.84068,0.87918,0.67055,0.87943,0.69632,0.99913,0.000513886,0.000513886,0.000513886
175,2520.34,0.26164,0.1751,0.77536,0.9079,0.84296,0.8562,0.64434,0.887,0.73732,1.00343,0.000509443,0.000509443,0.000509443
176,2535.38,0.27561,0.18176,0.78036,0.89455,0.83813,0.87307,0.6644,0.86536,0.69935,0.98164,0.000505,0.000505,0.000505
